## Master file format version 1.0           2001.08.21 CCT&NRV

                         1988 MULTI-AGENCY SCHEDULE

                     Last Updated - April 13, 2006 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|INT88-001 |I88001|JAN01|1  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAPS-D    |NAP88D|FEB11|42 |     |  |GcHrMoOoWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A452 |IA452 |FEB12|43 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88D1  |CD88D1|FEB13|44 |     |  |FoGcHcMoPrVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|DSN-01    |DS8801|FEB13|44 |     |  |15Ti                         |JPL |HAYS|       |    |D   |NASA|     |    |
|CDP-88D2  |CD88D2|FEB14|45 |     |  |FoGcHcMoPrVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|DSN-02    |DS8802|FEB14|45 |     |  |15Ti                         |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-045 |I88045|FEB14|45 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-046 |I88046|FEB15|46 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-7 |FRM887|FEB15|46 |     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|INT88-047 |I88047|FEB16|47 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88E1  |CD88E1|FEB17|48 |     |  |FoGcHcMoPfVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-048 |I88048|FEB17|48 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A453 |IA453 |FEB17|48 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88E2  |CD88E2|FEB18|49 |     |  |FoGcHcMoPfVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-050 |I88050|FEB19|50 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-051 |I88051|FEB20|51 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-N1    |PM88N1|FEB20|51 |     |  |GcHcKaKuMoVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-33   |GN8833|FEB21|52 |     |  |GcKuMd                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-053 |I88053|FEB22|53 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A454 |IA454 |FEB22|53 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-P11  |IP8811|FEB23|54 |     |  |GcHrKaRi                     |NOAA|HAYS|       |    |XP  |NASA|     |    |
|INT88-055 |I88055|FEB24|55 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-34   |GN8834|FEB25|56 |     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-056 |I88056|FEB25|56 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-057 |I88057|FEB26|57 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-058 |I88058|FEB27|58 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A455 |IA455 |FEB27|58 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-060 |I88060|FEB29|60 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT88-061 |I88061|MAR01|61 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-062 |I88062|MAR02|62 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-063 |I88063|MAR03|63 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A456 |IA456 |MAR03|63 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|GNUT-35   |GN8835|MAR04|64 |     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-065 |I88065|MAR05|65 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-066 |I88066|MAR06|66 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-36   |GN8836|MAR07|67 |     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-067 |I88067|MAR07|67 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-068 |I88068|MAR08|68 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A457 |IA457 |MAR08|68 |     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|E.ATL-1   |EAT881|MAR09|69 |     |  |OnRiWfWz                     |NASA|WASH|       |    |X   |NASA|     |    |
|INT88-070 |I88070|MAR10|70 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-071 |I88071|MAR11|71 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-072 |I88072|MAR12|72 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-073 |I88073|MAR13|73 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A458 |IA458 |MAR13|73 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-P12  |IP8812|MAR14|74 |     |  |GcHrKaRi                     |NOAA|HAYS|       |    |XP  |NASA|     |    |
|INT88-075 |I88075|MAR15|75 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-076 |I88076|MAR16|76 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NJ2       |NJ882 |MAR16|76 |     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|ATD-2     |ATD882|MAR17|77 |     |  |GcHrMoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-077 |I88077|MAR17|77 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-078 |I88078|MAR18|78 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A459 |IA459 |MAR18|78 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|SURVEY-N  |SUR88N|MAR19|79 |     |  |GcKuMo                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-080 |I88080|MAR20|80 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-081 |I88081|MAR21|81 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-082 |I88082|MAR22|82 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-083 |I88083|MAR23|83 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A460 |IA460 |MAR23|83 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|GNUT-38   |GN8838|MAR24|84 |     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|DSN-03    |DS8803|MAR25|85 |     |  |15Ro                         |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-085 |I88085|MAR25|85 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-086 |I88086|MAR26|86 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-04    |DS8804|MAR27|87 |     |  |15Ro                         |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-087 |I88087|MAR27|87 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-088 |I88088|MAR28|88 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A461 |IA461 |MAR28|88 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-090 |I88090|MAR30|90 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-39   |GN8839|MAR31|91 |     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-091 |I88091|MAR31|91 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT88-092 |I88092|APR01|92 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-05    |DS8805|APR02|93 |     |  |15RoTi                       |JPL |HAYS|       |    |D   |NASA|     |    |
|IRIS-A462 |IA462 |APR02|93 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-095 |I88095|APR04|95 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-096 |I88096|APR05|96 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|R&D-2     |RD882 |APR05|96 |     |  |GcMo                         |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-097 |I88097|APR06|97 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A463 |IA463 |APR07|98 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-099 |I88099|APR08|99 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-100 |I88100|APR09|100|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-SW    |PM88SW|APR09|100|     |  |GcKaKuSh                     |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-40   |GN8840|APR10|101|     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-101 |I88101|APR10|101|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-102 |I88102|APR11|102|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A464 |IA464 |APR12|103|     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-104 |I88104|APR13|104|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|W.ATL-2   |WAT882|APR13|104|     |  |HrMoOnWfWz                   |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-41   |GN8841|APR14|105|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-105 |I88105|APR14|105|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-106 |I88106|APR15|106|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NCMN      |NCMN88|APR15|106|     |  |HrMoMsWf                     |NASA|WASH|       |    |XM  |NASA|     |    |
|INT88-107 |I88107|APR16|107|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A465 |IA465 |APR17|108|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-109 |I88109|APR18|109|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P13  |IP8813|APR18|109|     |  |GcHrKaRi                     |NOAA|HAYS|       |    |XP  |NASA|     |    |
|GNUT-42   |GN8842|APR19|110|     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-110 |I88110|APR19|110|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-111 |I88111|APR20|111|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAPS-A1   |NP88A1|APR20|111|     |  |GcHcHrMoOoPlWf               |NASA|WASH|       |    |X   |NASA|     |    |
|NAPS-A2   |NP88A2|APR21|112|     |  |GcHcHrMoOoPlWf               |NASA|WASH|       |    |X   |NASA|     |    |
|IRIS-A466 |IA466 |APR22|113|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|R&D-3     |RD883 |APR22|113|     |  |GvMoOo                       |NASA|HAYS|       |    |X   |NASA|     |    |
|REFRAME-8 |FRM888|APR22|113|     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|INT88-114 |I88114|APR23|114|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-115 |I88115|APR24|115|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88F   |CDP88F|APR25|116|     |  |FlHcHrMoVe                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-116 |I88116|APR25|116|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-117 |I88117|APR26|117|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-9 |FRM889|APR26|117|     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|IRIS-A467 |IA467 |APR27|118|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|REFRAME-10|FR8810|APR27|118|     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|GNUT-43   |GN8843|APR28|119|     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-119 |I88119|APR28|119|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88G1  |CD88G1|APR29|120|     |  |ElHcHrMoVbYu                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-120 |I88120|APR29|120|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88G2  |CD88G2|APR30|121|     |  |ElHcHrMoVbYu                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-121 |I88121|APR30|121|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT88-122 |I88122|MAY01|122|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|R&D-4     |RD884 |MAY01|122|     |  |GcHcKu                       |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A468 |IA468 |MAY02|123|     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-124 |I88124|MAY03|124|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-11|FR8811|MAY03|124|     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|CDP-88H1  |CD88H1|MAY04|125|     |  |HcHrMeMoQuVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-125 |I88125|MAY04|125|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88H2  |CD88H2|MAY05|126|     |  |HcHrMeMoQuVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-44   |GN8844|MAY05|126|     |  |GcRi                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-127 |I88127|MAY06|127|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-12|FR8812|MAY06|127|     |  |GcHc                         |NRL |WASH|       |    |XN  |NASA|     |    |
|IRIS-A469 |IA469 |MAY07|128|     |  |HrMcRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88I   |CDP88I|MAY08|129|     |  |MoPnVb                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-129 |I88129|MAY08|129|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-130 |I88130|MAY09|130|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-131 |I88131|MAY10|131|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-45   |GN8845|MAY11|132|     |  |GcRi                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-132 |I88132|MAY11|132|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-133 |I88133|MAY12|133|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A470 |IA470 |MAY12|133|     |  |HrMcRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-135 |I88135|MAY14|135|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-136 |I88136|MAY15|136|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ATD-3     |ATD883|MAY16|137|     |  |GcHrMoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-137 |I88137|MAY16|137|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A471 |IA471 |MAY17|138|     |  |HrMcWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-P14  |IP8814|MAY18|139|     |  |GcHrKa                       |NOAA|HAYS|       |    |XP  |NASA|     |    |
|INT88-140 |I88140|MAY19|140|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-06    |DS8806|MAY20|141|     |  |15RoTi                       |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-141 |I88141|MAY20|141|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A472 |IA472 |MAY21|142|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|XPAC-1    |XPC881|MAY21|142|     |  |GcKaKu                       |NASA|WASH|       |    |X   |NASA|     |    |
|GNUT-46   |GN8846|MAY22|143|     |  |GcKuRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-144 |I88144|MAY23|144|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-S1    |PM88S1|MAY23|144|     |  |45KuMo                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-145 |I88145|MAY24|145|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-146 |I88146|MAY25|146|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-147 |I88147|MAY26|147|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-148 |I88148|MAY27|148|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A473 |IA473 |MAY27|148|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-150 |I88150|MAY29|150|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-151 |I88151|MAY30|151|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-152 |I88152|MAY31|152|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|GNUT-47   |GN8847|JUN01|153|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-153 |I88153|JUN01|153|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A474 |IA474 |JUN01|153|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-155 |I88155|JUN03|155|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-156 |I88156|JUN04|156|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-E2    |PM88E2|JUN04|156|     |  |GcKuMoVb                     |NASA|WASH|       |    |X   |NASA|     |    |
|GNUT-48   |GN8848|JUN05|157|     |  |GcKuMdRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-157 |I88157|JUN05|157|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-158 |I88158|JUN06|158|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
