## Master file format version 1.0           2001.08.21 CCT&NRV

                         1987 MULTI-AGENCY SCHEDULE

                     Last Updated - June 25, 2002 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|INT87-001 |I87001|JAN01|1  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-052 |I87052|FEB21|52 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A381 |IA381 |FEB22|53 |     |  |WfWzHrRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-053 |I87053|FEB22|53 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GSI-1     |GSI871|FEB23|54 |     |  |KaTk                         |GSI |HAYS|       |    |DX  |NASA|     |    |
|IRIS-S12  |IS8712|FEB23|54 |     |  |HhWzWfRi                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|ATD-2     |ATD872|FEB24|55 |     |  |GcMoWf                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-056 |I87056|FEB25|56 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A382 |IA382 |FEB27|58 |     |  |WfHrWzRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-058 |I87058|FEB27|58 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT87-060 |I87060|MAR01|60 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-061 |I87061|MAR02|61 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-062 |I87062|MAR03|62 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A383 |IA383 |MAR04|63 |     |  |WfHrWzRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-065 |I87065|MAR06|65 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-066 |I87066|MAR07|66 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-067 |I87067|MAR08|67 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A384 |IA384 |MAR09|68 |     |  |WfWzHrRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-068 |I87068|MAR09|68 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|SURVEY    |SVY871|MAR10|69 |     |  |GcKuMo                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-070 |I87070|MAR11|70 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-071 |I87071|MAR12|71 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-072 |I87072|MAR13|72 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A385 |IA385 |MAR14|73 |     |  |WfHrWzRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-073 |I87073|MAR14|73 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-075 |I87075|MAR16|75 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-076 |I87076|MAR17|76 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-077 |I87077|MAR18|77 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A386 |IA386 |MAR19|78 |     |  |HrRiWzWf                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-078 |I87078|MAR19|78 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ASTROM-S2 |AS87S2|MAR20|79 |     |  |HhWzRiWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-080 |I87080|MAR21|80 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-081 |I87081|MAR22|81 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87F   |CDP87F|MAR22|81 |     |  |VbHrMeHcYuMo                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-082 |I87082|MAR23|82 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NORTH-PAC1|NPC871|MAR24|83 |     |  |GcHcKaVbMoKu                 |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A387 |IA387 |MAR24|83 |     |  |RiWzWfHr                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-083 |I87083|MAR24|83 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|TRANS-ATL2|XAT872|MAR25|84 |     |  |WfWzOn                       |NASA|HAYS|       |    |XA  |NASA|     |    |
|CDP-87G   |CDP87G|MAR25|84 |     |  |PvPnMoVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|ATD-3     |ATD873|MAR26|85 |     |  |WfMoGcHr                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-085 |I87085|MAR26|85 |     |  |WfWz                         |NOAA|WASH|       |    |XR  |NASA|     |    |
|INT87-086 |I87086|MAR27|86 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-087 |I87087|MAR28|87 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87H   |CDP87H|MAR28|87 |     |  |MoVbDmSp                     |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A388 |IA388 |MAR29|88 |     |  |WfWzHrRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-088 |I87088|MAR29|88 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-090 |I87090|MAR31|90 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT87-091 |I87091|APR01|91 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-092 |I87092|APR02|92 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A389 |IA389 |APR03|93 |     |  |RiWzMcHrWf                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-094 |I87094|APR04|94 |     |  |WfWz                         |NOAA|WASH|       |    |XR  |NASA|     |    |
|INT87-095 |I87095|APR05|95 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-096 |I87096|APR06|96 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-097 |I87097|APR07|97 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A390 |IA390 |APR08|98 |     |  |WfOnWzRiHr                   |NOAA|BONN|       |    |XI  |NASA|     |    |
|NORTH-ATL1|NAT871|APR09|99 |     |  |HrMoOnWfWz                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-100 |I87100|APR10|100|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-101 |I87101|APR11|101|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-102 |I87102|APR12|102|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A391 |IA391 |APR13|103|     |  |WfRiHrWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|ATD-4     |ATD874|APR14|104|     |  |WfHrMoGc                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-104 |I87104|APR14|104|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-105 |I87105|APR15|105|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-106 |I87106|APR16|106|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-107 |I87107|APR17|107|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A392 |IA392 |APR18|108|     |  |WfWzRiHr                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-110 |I87110|APR20|110|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|TRANS-PAC3|XPC873|APR21|111|     |  |KuKaGc                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-111 |I87111|APR21|111|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A393 |IA393 |APR23|113|     |  |WfWzHrRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-114 |I87114|APR24|114|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-115 |I87115|APR25|115|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-116 |I87116|APR26|116|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-117 |I87117|APR27|117|     |  |WfWz                         |NOAA|WASH|       |    |XR  |NASA|     |    |
|IRIS-A394 |IA394 |APR28|118|     |  |WfHrWzRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-P119 |IP7119|APR29|119|     |  |KaHrGcRi                     |NOAA|WASH|       |    |XP  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|NAPS-AA   |NAP87A|MAY01|121|     |  |GcOoWfHcPlHrMo               |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-121 |I87121|MAY01|121|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAPS-AB   |NAP87B|MAY02|122|     |  |HrHcGcWfPlOoMo               |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-122 |I87122|MAY02|122|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A395 |IA395 |MAY03|123|     |  |WfHrWzOnRiMc                 |NOAA|WASH|       |    |XI  |NASA|     |    |
|NORTH-ATL2|NAT872|MAY04|124|     |  |MoWzOnHrWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-124 |I87124|MAY04|124|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-125 |I87125|MAY05|125|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-126 |I87126|MAY06|126|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87I   |CDP87I|MAY06|126|     |  |MoFlVeHcHr                   |NASA|HAYS|       |    |X   |NASA|     |    |
|TRANS-PAC4|XPC874|MAY07|127|     |  |KuKaGc                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-127 |I87127|MAY07|127|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A396 |IA396 |MAY08|128|     |  |WfHrWzRi                     |NOAA|BONN|       |    |XI  |NASA|     |    |
|INT87-129 |I87129|MAY09|129|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-130 |I87130|MAY10|130|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87J   |CDP87J|MAY10|130|     |  |MoElYuHrHcVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-131 |I87131|MAY11|131|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-132 |I87132|MAY12|132|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A397 |IA397 |MAY13|133|     |  |WfHrRiWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-133 |I87133|MAY13|133|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87K   |CDP87K|MAY14|134|     |  |VbOoMoQuMeHr                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-135 |I87135|MAY15|135|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-136 |I87136|MAY16|136|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-137 |I87137|MAY17|137|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87L   |CDP87L|MAY17|137|     |  |VbPfBbMoHc                   |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A398 |IA398 |MAY18|138|     |  |WfHrWzRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-138 |I87138|MAY18|138|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-140 |I87140|MAY20|140|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-141 |I87142|MAY21|141|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87M   |CDP87M|MAY21|141|     |  |VbPrFoMoHc                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-142 |I87142|MAY22|142|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A399 |IA399 |MAY23|143|     |  |HrWzWfRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-143 |I87143|MAY23|143|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ATD-5     |ATD875|MAY24|144|     |  |GcMoWfHr                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-145 |I87145|MAY25|145|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-146 |I87146|MAY26|146|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-147 |I87147|MAY27|147|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A400 |IA400 |MAY28|148|     |  |WfHrWzRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-148 |I87148|MAY28|148|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P149 |IP7149|MAY29|149|     |  |GcHrKaRi                     |NOAA|WASH|       |    |XP  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|IRIS-A401 |IA401 |JUN02|153|     |  |WfRiHrWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-153 |I87153|JUN02|153|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-155 |I87155|JUN04|155|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-156 |I87156|JUN05|156|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A402 |IA402 |JUN06|157|     |  |WfHrRiWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-159 |I87159|JUN08|159|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|HH-45TIE  |HH45ti|JUN08|159|     |  |Hh45                         |NASA|HAYS|       |    |X   |NASA|     |    |
|TRANS-PAC5|XPC875|JUN09|160|     |  |KaKuGc                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-160 |I87160|JUN09|160|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-161 |I87161|JUN10|161|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-162 |I87162|JUN11|162|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A403 |IA403 |JUN12|163|     |  |WfRiWzHr                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-163 |I87163|JUN12|163|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-165 |I87165|JUN14|165|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-166 |I87166|JUN15|166|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-167 |I87167|JUN16|167|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A404 |IA404 |JUN17|168|     |  |WfHrRiWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-168 |I87168|JUN17|168|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ATD-6     |ATD876|JUN18|169|     |  |GcWfMoHr                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-170 |I87170|JUN19|170|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-171 |I87171|JUN20|171|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-172 |I87172|JUN21|172|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A405 |IA405 |JUN22|173|     |  |WfWzHrOnRi                   |NOAA|BONN|       |    |XI  |NASA|     |    |
|INT87-173 |I87173|JUN22|173|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|TRANS-ATL3|XAT873|JUN23|174|     |  |WfOnWz                       |NASA|HAYS|       |    |X   |NASA|     |    |
|POLAR-1   |POL871|JUN24|175|     |  |KaOnMoWfGcWz                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-175 |I87175|JUN24|175|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-176 |I87176|JUN25|176|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-177 |I87177|JUN26|177|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A406 |IA406 |JUN27|178|     |  |WfHrRiWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-P179 |IP7179|JUN28|179|     |  |KaGcHrRi                     |NOAA|WASH|       |    |XP  |NASA|     |    |
|ASTROM-1  |AST871|JUN29|180|     |  |GcHsMo                       |NASA|HAYS|       |    |X   |NASA|     |    |
|ASTROM-2  |AST872|JUN30|181|     |  |GcHsMo                       |NASA|HAYS|       |    |X   |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|IRIS-A407 |IA407 |JUL02|183|     |  |WfRiWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-184 |I87184|JUL03|184|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-185 |I87185|JUL04|185|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-186 |I87186|JUL05|186|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-187 |I87187|JUL06|187|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A408 |IA408 |JUL07|188|     |  |WfWzHrRi                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|ATD-7     |ATD877|JUL08|189|     |  |WfHrGcMo                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-189 |I87189|JUL08|189|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-191 |I87191|JUL10|191|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NCMN-1    |NCM871|JUL11|192|     |  |HrRiAuWf                     |NASA|HAYS|       |    |XM  |NASA|     |    |
|IRIS-A409 |IA409 |JUL12|193|     |  |WfHrRiWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT87-194 |I87194|JUL13|194|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-195 |I87195|JUL14|195|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT87-196 |I87196|JUL15|196|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-87NA  |CD87NA|JUL15|196|     |  |GcMoHcKo                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT87-197 |I87197|JUL16|197|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A410 |IA410 |JUL17|198|     |  |WfHrWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-87NB  |CD87NB|JUL17|198|     |  |KoMoHcGc                     |NASA|HAYS|       |    |X   |NASA|     |    |
|EAST-PAC1 |EPC871|JUL18|199|     |  |GcMoKuKaHcVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|NCMN-2    |NCM872|JUL18|199|     |  |RiCgHrWf                     |NASA|HAYS|       |    |XM  |NASA|     |    |
|INT87-201 |I87201|JUL20|201|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
