## Master file format version 1.0           2001.08.21 CCT&NRV

                         1989 MULTI-AGENCY SCHEDULE

                     Last Updated - November 14, 2003 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|INT89-001 |I89001|JAN01|1  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-036 |I89036|FEB05|36 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89E1  |CD89E1|FEB06|37 |     |  |HcMoPrVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A524 |IA524 |FEB06|37 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-89E2  |CD89E2|FEB07|38 |     |  |GcHcMoPrVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-038 |I89038|FEB07|38 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-S20  |IS8920|FEB07|38 |     |  |HhHrWfWz                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|INT89-039 |I89039|FEB08|39 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-040 |I89040|FEB09|40 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-041 |I89041|FEB10|41 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-20|FR8920|FEB10|41 |     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|CDP-89F1  |CD89F1|FEB11|42 |     |  |HcMoPfVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-042 |I89042|FEB11|42 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A525 |IA525 |FEB11|42 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-89F2  |CD89F2|FEB12|43 |     |  |HcMoPfVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-044 |I89044|FEB13|44 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-046 |I89046|FEB15|46 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET07  |NAVY07|FEB15|46 |     |  |G3GcMd                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-047 |I89047|FEB16|47 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A526 |IA526 |FEB16|47 |     |  |HrWzWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-S21  |IS8921|FEB17|48 |     |  |HhHrMcWf                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|INT89-049 |I89049|FEB18|49 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-S2    |PM89S2|FEB18|49 |     |  |45GcKaKuSh                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-050 |I89050|FEB19|50 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET08  |NAVY08|FEB19|50 |     |  |G3GcKuMd                     |USNO|WASH|       |    |XO  |NASA|     |    |
|E.ATL-1   |EAT891|FEB20|51 |     |  |65McOnWfWz                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-051 |I89051|FEB20|51 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-052 |I89052|FEB21|52 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A527 |IA527 |FEB21|52 |     |  |HrOnWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|JEG-07    |JEG07 |FEB22|53 |     |  |KaTk                         |GSI |CRL |       |    |DX  |GSI |     |    |
|INT89-054 |I89054|FEB23|54 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-055 |I89055|FEB24|55 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-056 |I89056|FEB25|56 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-057 |I89057|FEB26|57 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A528 |IA528 |FEB26|57 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-P23  |IP8923|FEB27|58 |     |  |GcHrKa                       |NOAA|WASH|       |    |XP  |NASA|     |    |
|INT89-059 |I89059|FEB28|59 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT89-060 |I89060|MAR01|60 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-061 |I89061|MAR02|61 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET09  |NAVY09|MAR02|61 |     |  |G3GcMd                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-062 |I89062|MAR03|62 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A529 |IA529 |MAR03|62 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-S22  |IS8922|MAR04|63 |     |  |HhHrWfWz                     |NOAA|BONN|       |    |XH  |NASA|     |    |
|INT89-064 |I89064|MAR05|64 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-065 |I89065|MAR06|65 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-066 |I89066|MAR07|66 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET10  |NAVY10|MAR07|66 |     |  |G3Gc                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-067 |I89067|MAR08|67 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A530 |IA530 |MAR08|67 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-069 |I89069|MAR10|69 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-070 |I89070|MAR11|70 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-072 |I89072|MAR13|72 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A531 |IA531 |MAR13|72 |     |  |HrOnWfWz                     |NOAA|BONN|       |    |XI  |NASA|     |    |
|INT89-074 |I89074|MAR15|74 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-075 |I89075|MAR16|75 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET11  |NAVY11|MAR16|75 |     |  |G3GcMd                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-076 |I89076|MAR17|76 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-077 |I89077|MAR18|77 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A532 |IA532 |MAR18|77 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|SURVEY-N1 |SU89N1|MAR18|77 |     |  |GcKuMo                       |NASA|HAYS|       |    |X   |NASA|     |    |
|DSN-2     |DSN892|MAR19|78 |     |  |14Ro                         |JPL |HAYS|       |    |D   |NASA|     |    |
|NAVNET12  |NAVY12|MAR19|78 |     |  |G3GcKuMd                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-079 |I89079|MAR20|79 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-080 |I89080|MAR21|80 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-081 |I89081|MAR22|81 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-082 |I89082|MAR23|82 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A533 |IA533 |MAR23|82 |     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|NAVNET13  |NAVY13|MAR25|84 |     |  |G3GcKuMd                     |USNO|WASH|       |    |XO  |NASA|     |    |
|PPM-S3    |PM89S3|MAR26|85 |     |  |GcKaKuSh                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-086 |I89086|MAR27|86 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|R&D-1     |RD891 |MAR27|86 |     |  |GcMoWf                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-087 |I89087|MAR28|87 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A534 |IA534 |MAR28|87 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-S23  |IS8923|MAR29|88 |     |  |HhHrRiWfWz                   |NOAA|BONN|       |    |XH  |NASA|     |    |
|INT89-090 |I89090|MAR31|90 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P24  |IP8924|MAR31|90 |     |  |GcHrKaRi                     |NOAA|WASH|       |    |XP  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|IRIS-A535 |IA535 |APR02|92 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-093 |I89093|APR03|93 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET14  |NAVY14|APR03|93 |     |  |G3GcMdRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-094 |I89094|APR04|94 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-095 |I89095|APR05|95 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-096 |I89096|APR06|96 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A536 |IA536 |APR07|97 |     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-098 |I89098|APR08|98 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-099 |I89099|APR09|99 |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-21|FR8921|APR09|99 |     |  |45Hh                         |NRL |WASH|       |    |XN  |NASA|     |    |
|INT89-100 |I89100|APR10|100|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-101 |I89101|APR11|101|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A537 |IA537 |APR12|102|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-103 |I89103|APR13|103|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVINT-1  |NNT891|APR13|103|     |  |G3GcRi                       |USNO|WASH|       |    |XJ  |NASA|     |    |
|NAVNET15  |NAVY15|APR13|103|     |  |15G3GcRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-104 |I89104|APR14|104|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-105 |I89105|APR15|105|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-106 |I89106|APR16|106|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A538 |IA538 |APR17|107|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-108 |I89108|APR18|108|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P25  |IP8925|APR18|108|     |  |GcHrKaRi                     |NOAA|WASH|       |    |XP  |NASA|     |    |
|INT89-109 |I89109|APR19|109|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-110 |I89110|APR20|110|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAPS-A1A  |N89A1A|APR20|110|     |  |GcHcHrMoPlWf                 |NASA|HAYS|       |    |X   |NASA|     |    |
|NAVINT-2  |NNT892|APR20|110|     |  |G3GcKuRi                     |USNO|WASH|       |    |XJ  |NASA|     |    |
|NAVNET16  |NAVY16|APR20|110|     |  |G3GcKuRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-111 |I89111|APR21|111|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAPS-A1B  |N89A1B|APR21|111|     |  |GcHcHrMoPlWf                 |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A539 |IA539 |APR22|112|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-113 |I89113|APR23|113|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET17  |NAVY17|APR23|113|     |  |G3GcMdRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|REFRAME-22|FR8922|APR23|113|     |  |45KaKu                       |NRL |WASH|       |    |XN  |NASA|     |    |
|INT89-114 |I89114|APR24|114|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-N1    |PM89N1|APR24|114|     |  |GcHcKaKuMoVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|CDP-89G1  |CD89G1|APR25|115|     |  |HcHrMoVeWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-115 |I89115|APR25|115|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89G2  |CD89G2|APR26|116|     |  |HcHrMoVeWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-116 |I89116|APR26|116|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A540 |IA540 |APR27|117|     |  |HrOnRiWfWz                   |NOAA|BONN|       |    |XI  |NASA|     |    |
|INT89-119 |I89119|APR29|119|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89H1  |CD89H1|APR30|120|     |  |ElHcHrMoWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-120 |I89120|APR30|120|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|CDP-89H2  |CD89H2|MAY01|121|     |  |ElHcHrMoWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-121 |I89121|MAY01|121|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A541 |IA541 |MAY02|122|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|REFRAME-23|FR8923|MAY02|122|     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|INT89-123 |I89123|MAY03|123|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVINT-3  |NNT893|MAY04|124|     |  |G3GcRi                       |USNO|WASH|       |    |XJ  |NASA|     |    |
|CDP-89I1  |CD89I1|MAY05|125|     |  |HcHrMoQuVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-125 |I89125|MAY05|125|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89I2  |CD89I2|MAY06|126|     |  |HcHrMoQuVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-126 |I89126|MAY06|126|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-3     |DSN893|MAY07|127|     |  |14Ti                         |JPL |HAYS|       |    |D   |NASA|     |    |
|IRIS-A542 |IA542 |MAY07|127|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|REFRAME-24|FR8924|MAY07|127|     |  |GcHc                         |NRL |WASH|       |    |XN  |NASA|     |    |
|INT89-128 |I89128|MAY08|128|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVNET19  |NAVY19|MAY08|128|     |  |G3GcRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-129 |I89129|MAY09|129|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89J1  |CD89J1|MAY10|130|     |  |FsHcMoVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-130 |I89130|MAY10|130|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89J2  |CD89J2|MAY11|131|     |  |FsHcMoVb                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-131 |I89131|MAY11|131|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A543 |IA543 |MAY12|132|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|REFRAME-25|FR8925|MAY12|132|     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|INT89-133 |I89133|MAY13|133|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-26|FR8926|MAY13|133|     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|INT89-134 |I89134|MAY14|134|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89K1  |CD89K1|MAY15|135|     |  |HcHrMeMoVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-135 |I89135|MAY15|135|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-89K2  |CD89K2|MAY16|136|     |  |HcHrMeMoVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-136 |I89136|MAY16|136|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A544 |IA544 |MAY17|137|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|REFRAME-27|FR8927|MAY17|137|     |  |GcHcMd                       |NRL |WASH|       |    |XN  |NASA|     |    |
|NAVINT-4  |NNT894|MAY18|138|     |  |G3GcRi                       |USNO|WASH|       |    |XJ  |NASA|     |    |
|NAVNET20  |NAVY20|MAY18|138|     |  |G3GcRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT89-139 |I89139|MAY19|139|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-140 |I89140|MAY20|140|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-W1    |PM89W1|MAY20|140|     |  |GcKaKuMoVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-141 |I89141|MAY21|141|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAVINT-5  |NNT895|MAY21|141|     |  |G3GcKuRi                     |USNO|WASH|       |    |XJ  |NASA|     |    |
|NAVNET21  |NAVY21|MAY21|141|     |  |G3GcKuRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|IRIS-A545 |IA545 |MAY22|142|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-143 |I89143|MAY23|143|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P26  |IP8926|MAY23|143|     |  |GcHrKaRi                     |NOAA|WASH|       |    |XP  |NASA|     |    |
|INT89-144 |I89144|MAY24|144|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|R&D-2     |RD892 |MAY24|144|     |  |GcHsMoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-145 |I89145|MAY25|145|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-146 |I89146|MAY26|146|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A546 |IA546 |MAY27|147|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT89-148 |I89148|MAY28|148|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT89-149 |I89149|MAY29|149|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GORF-1A   |GF891A|MAY30|150|     |  |G3GfHrMdRiWf                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-150 |I89150|MAY30|150|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GORF-1B   |GF891B|MAY31|151|     |  |G3GfMdRiWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-151 |I89151|MAY31|151|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT89-152 |I89152|JUN01|152|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A547 |IA547 |JUN01|152|     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|NAVNET22  |NAVY22|JUN01|152|     |  |G3GcMd                       |USNO|WASH|       |    |XO  |NASA|     |    |
|E.ATL-2   |EAT892|JUN03|154|     |  |65NtOnWfWz                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT89-154 |I89154|JUN03|154|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|SURVEY-N2 |SU89N2|JUN03|154|     |  |GcKuMo                       |NASA|HAYS|       |    |XA  |NASA|     |    |
|INT89-155 |I89155|JUN04|155|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
